canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
618435,2,1,RAILWAYS,289.99,36.0,RAILWAYS,5.673288902319859
618436,2,1,RAILWAYS,520.01,341.0,RAILWAYS,6.255769235427133
618437,2,1,RAILWAYS,252.0,71.0,RAILWAYS,5.53338948872752
618439,2,1,RAILWAYS,437.39,98.0,RAILWAYS,6.08310892515467
618440,2,1,RAILWAYS,463.49,105.0,RAILWAYS,6.140940029496855
618441,7,1,Roads & Highways,467.79,116.0,Roads & Highways,6.1501549069772725
618442,6,1,Roads & Highways,358.72,7.0,Roads & Highways,5.8853259510463145
618443,6,1,Roads & Highways,438.44,7.0,Roads & Highways,6.085501189034365
618444,6,1,Roads & Highways,279.01,7.0,Roads & Highways,5.634825316817224
618445,5,0,Roads & Highways,353.9,88.0,Roads & Highways,5.871836059652451
618446,2,1,RAILWAYS,493.42,37.0,RAILWAYS,6.203385358399711
618447,2,1,RAILWAYS,410.6,38.0,RAILWAYS,6.020052003959894
618448,2,1,RAILWAYS,816.79,38.0,RAILWAYS,6.706605579927191
618449,2,1,RAILWAYS,230.45,32.0,RAILWAYS,5.444363867477279
618450,2,1,RAILWAYS,292.8,21.0,RAILWAYS,5.682899263739777
618452,4,1,RAILWAYS,781.85,46.0,RAILWAYS,6.662941106757532
618454,2,1,RAILWAYS,592.06,25.0,RAILWAYS,6.385295574317778
618455,4,1,Roads & Highways,693.97,55.0,Roads & Highways,6.54386867916551
618456,2,1,RAILWAYS,1119.35,42.0,RAILWAYS,7.021396415471186
618457,2,1,RAILWAYS,1272.97,35.0,RAILWAYS,7.149893287974162
618458,2,1,RAILWAYS,1788.69,42.0,RAILWAYS,7.489797699479117
618459,2,1,COAL,1542.02,41.0,COAL,7.341496814041958
618460,2,1,COAL,1198.55,38.0,COAL,7.089701765446009
618461,2,1,COAL,1669.56,46.0,COAL,7.4209141785418
618462,2,1,COAL,1604.06,54.0,COAL,7.380916418042952
618463,2,1,COAL,1161.39,43.0,COAL,7.058233509328497
618464,2,1,Roads & Highways,2271.86,43.0,Roads & Highways,7.728794229346754
618465,2,1,COAL,1710.3,37.0,COAL,7.445008594583406
618466,2,1,Roads & Highways,3834.24,32.0,Roads & Highways,8.251987293329528
618467,2,1,Roads & Highways,2594.17,27.0,Roads & Highways,7.861407304051566
618468,2,1,POWER,1260.0,24.0,POWER,7.13966033596492
618469,5,1,POWER,2747.0,24.0,POWER,7.91862865334224
618470,5,1,POWER,1124.0,18.0,POWER,7.025538314638521
618471,2,1,POWER,990.0,23.0,POWER,6.898714534329988
618472,5,1,POWER,1450.0,23.0,POWER,7.280008252884188
618473,5,1,POWER,2208.68,46.0,POWER,7.7006029876477005
618475,2,1,"DEPARTMENT
OF HIGHER
EDUCATION",1942.94,51.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.572472120346545
618476,5,1,"DEPARTMENT
OF HIGHER
EDUCATION",1137.74,47.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.037677666976883
618477,2,1,RAILWAYS,1023.91,43.0,RAILWAYS,6.932360082839386
618478,5,1,RAILWAYS,843.48,43.0,RAILWAYS,6.7387210533149595
618479,2,1,RAILWAYS,1155.49,45.0,RAILWAYS,7.053144834855035
618480,2,1,Roads & Highways,162.55,27.0,Roads & Highways,5.097118753984393
618481,5,1,RAILWAYS,2948.31,41.0,RAILWAYS,7.989326523670306
618482,2,1,Roads & Highways,1866.49,36.0,Roads & Highways,7.532350562240293
618483,2,1,Roads & Highways,1533.87,37.0,Roads & Highways,7.336200965881104
618484,2,1,POWER,1430.88,36.0,POWER,7.2667435451265865
618485,7,0,POWER,1306.95,35.0,POWER,7.176216304986807
618486,4,1,RAILWAYS,1741.86,40.0,RAILWAYS,7.463282721008953
618487,4,1,RAILWAYS,881.0,40.0,RAILWAYS,6.782192056006791
618488,6,1,Roads & Highways,1895.74,51.0,Roads & Highways,7.547891902028195
618489,4,1,RAILWAYS,1234.4,40.0,RAILWAYS,7.119150083261799
618490,6,1,Roads & Highways,2177.54,43.0,Roads & Highways,7.686410206646677
618491,6,1,Roads & Highways,2175.35,44.0,Roads & Highways,7.685404440629804
618492,4,1,RAILWAYS,853.66,38.0,RAILWAYS,6.750703729030016
618493,4,1,RAILWAYS,2165.23,75.0,RAILWAYS,7.680743608442476
618494,5,1,POWER,2714.95,35.0,POWER,7.906897079083505
618495,2,1,POWER,2474.47,34.0,POWER,7.814185555964158
618496,2,1,POWER,1821.72,36.0,POWER,7.508085169903447
618497,5,1,POWER,1107.0,32.0,POWER,7.010311867307229
618498,4,1,POWER,2470.64,41.0,POWER,7.812637176904387
618499,5,1,POWER,1972.1,43.0,POWER,7.587361188975415
618500,2,1,POWER,1147.26,31.0,POWER,7.046003032072836
618501,2,1,COAL,690.3,46.0,COAL,6.538573882951219
618502,2,1,COAL,882.0,44.0,COAL,6.78332520060396
618503,2,1,COAL,691.52,38.0,COAL,6.540337118510875
618504,2,1,COAL,894.0,43.0,COAL,6.796823718274855
618505,2,1,RAILWAYS,409.64,22.0,RAILWAYS,6.017716918252048
618506,5,0,Roads & Highways,401.74,36.0,Roads & Highways,5.998291192450259
618507,2,1,Roads & Highways,466.8,12.0,Roads & Highways,6.148040854150079
618508,4,1,Roads & Highways,907.39,34.0,Roads & Highways,6.811673801804452
618509,2,1,RAILWAYS,2171.8,39.0,RAILWAYS,7.683771937364377
618511,2,1,Roads & Highways,604.59,17.0,Roads & Highways,6.406203189437368
618512,2,1,POWER,493.0,36.0,POWER,6.202535517187923
618513,2,1,POWER,1025.2,24.0,POWER,6.933617938507864
618514,5,1,POWER,1749.86,24.0,POWER,7.467862374777513
618515,4,1,POWER,1479.3,30.0,POWER,7.300000048919446
618516,2,1,POWER,1388.7,39.0,POWER,7.236843175492536
618517,5,1,POWER,1135.39,10.0,POWER,7.035611850222907
618519,4,1,RAILWAYS,1260.74,37.0,RAILWAYS,7.140246999688667
618520,2,1,Roads & Highways,1438.74,32.0,Roads & Highways,7.272217820712374
618521,2,1,RAILWAYS,707.9,28.0,RAILWAYS,6.563714472860972
618522,3,1,Roads & Highways,411.16,28.0,Roads & Highways,6.0214116234759345
618523,4,1,POWER,999.0,44.0,POWER,6.907755278982137
618524,4,1,Roads & Highways,257.98,32.0,Roads & Highways,5.556750838640694
618525,6,0,Roads & Highways,326.61,31.0,Roads & Highways,5.79182387654356
618526,2,1,Roads & Highways,665.59,33.0,Roads & Highways,6.502175164260966
618527,5,1,"DEPARTMENT
OF HIGHER
EDUCATION",1601.1,50.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.379070547652669
618529,5,1,POWER,927.77,36.0,POWER,6.8338611301204315
618530,2,1,"ROAD
TRANSPORT
AND
HIGHWAYS",2848.0,30.0,Other,7.954723334497908
618531,2,1,PETROLEUM,786.81,39.0,PETROLEUM,6.669256944033292
618532,2,1,PETROLEUM,552.55,27.0,PETROLEUM,6.3163520823054755
618533,4,1,POWER,1665.0,29.0,POWER,7.418180822726788
618534,2,1,Roads & Highways,470.75,43.0,Roads & Highways,6.156449184248659
618535,6,0,Roads & Highways,687.77,38.0,Roads & Highways,6.534907398158049
618536,6,0,Roads & Highways,1603.53,52.0,Roads & Highways,7.380586157788642
618537,7,1,POWER,1754.0,41.0,POWER,7.470224135899966
618538,5,0,Roads & Highways,1792.68,46.0,Roads & Highways,7.492024654356216
618539,5,0,Roads & Highways,1089.41,37.0,Roads & Highways,6.994309051286712
618540,3,1,Roads & Highways,1089.41,38.0,Roads & Highways,6.994309051286712
618541,5,1,POWER,2919.96,35.0,POWER,7.979667608353547
618542,2,0,Roads & Highways,827.98,41.0,Roads & Highways,6.72019602939192
618543,2,1,POWER,1912.17,43.0,POWER,7.556516831147972
618544,2,1,POWER,1401.87,35.0,POWER,7.24627541722065
618545,2,1,POWER,614.48,37.0,POWER,6.4224024511891775
618546,2,1,POWER,442.14,25.0,POWER,6.09388574720713
618547,5,1,POWER,1183.6,45.0,POWER,7.077160443842865
618548,2,1,POWER,1471.75,43.0,POWER,7.294886680401797
618549,2,1,POWER,939.86,27.0,POWER,6.846794350620995
618550,2,1,POWER,200.05,22.0,POWER,5.303553633343283
618551,5,0,Roads & Highways,666.81,32.0,Roads & Highways,6.5040037019407135
618552,2,1,RAILWAYS,1754.84,46.0,RAILWAYS,7.47070265387061
618553,6,1,POWER,957.62,40.0,POWER,6.865494750267535
618554,2,1,POWER,772.05,35.0,POWER,6.650343729548603
618555,2,1,POWER,649.5,39.0,POWER,6.47774129795256
618556,2,1,Roads & Highways,665.91,37.0,Roads & Highways,6.502655104277677
618557,6,1,POWER,998.27,39.0,POWER,6.907025012402394
618558,2,1,RAILWAYS,955.49,34.0,RAILWAYS,6.863270334042593
618559,2,1,RAILWAYS,521.53,31.0,RAILWAYS,6.2586823984586575
618560,7,1,RAILWAYS,541.58,31.0,RAILWAYS,6.2963355399804435
618561,5,0,Roads & Highways,904.99,48.0,Roads & Highways,6.809028268454472
618563,2,1,RAILWAYS,854.94,39.0,RAILWAYS,6.752200280227137
618564,2,1,Roads & Highways,1553.76,35.0,Roads & Highways,7.3490764718655495
