canonical_id,duration,event,sector,cost_original,planned_duration_months,sector_capped,log_cost
615917,12.0,0,CIVIL AVIATION,973.07,69.0,CIVIL AVIATION,6.881483169643275
615918,12.0,0,CIVIL AVIATION,405.2,66.0,CIVIL AVIATION,6.0068456491462845
615919,1.0,1,CIVIL AVIATION,1024.91,57.0,CIVIL AVIATION,6.933335302584907
615982,1.0,1,COAL,319.76,67.0,COAL,5.770693179938828
616044,1.0,1,CIVIL AVIATION,237.06,26.0,CIVIL AVIATION,5.472522742739733
616050,1.0,1,CIVIL AVIATION,235.9,66.0,CIVIL AVIATION,5.46763811116474
616221,1.0,0,Urban Public Transport,2254.35,48.0,Other,7.721060450535869
616223,1.0,1,CIVIL AVIATION,316.0,64.0,CIVIL AVIATION,5.75890177387728
616225,12.0,0,POWER,979.08,159.0,POWER,6.887634200985915
616226,1.0,1,RAILWAYS,3563.5,83.0,RAILWAYS,8.178779070557683
616227,11.0,0,Oil & Gas,1932.01,50.0,Oil & Gas,7.566833652500692
616229,1.0,1,CIVIL AVIATION,668.54,54.0,CIVIL AVIATION,6.506590909425665
616230,12.0,0,CIVIL AVIATION,1193.55,148.0,CIVIL AVIATION,7.085524824408029
616231,1.0,1,RAILWAYS,5366.28,84.0,RAILWAYS,8.588076541488615
616232,12.0,0,RAILWAYS,1561.85,76.0,RAILWAYS,7.354266356526303
616233,12.0,0,RAILWAYS,978.44,83.0,RAILWAYS,6.88698097976566
616234,1.0,1,"URBAN
DEVELOPMENT",1624.59,5.0,Other,7.393626105790439
616235,8.0,0,"DEPARTMENT
OF HIGHER
EDUCATION",240.0,19.0,"DEPARTMENT
OF HIGHER
EDUCATION",5.484796933490655
616236,12.0,0,POWER,414.37,109.0,POWER,6.029169689286631
616253,12.0,0,POWER,5850.83,60.0,POWER,8.674509711820587
616254,12.0,0,"DEPARTMENT
OF HIGHER
EDUCATION",2212.0,36.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.70210434005105
616586,11.0,0,Oil & Gas,2269.49,51.0,Oil & Gas,7.727750946212077
616587,11.0,0,Oil & Gas,1875.72,51.0,Oil & Gas,7.537280851244757
616588,11.0,0,Oil & Gas,1459.13,60.0,Oil & Gas,7.286280751834349
616594,5.0,1,Waste & Water,842.25,59.0,Other,6.73726347394176
616600,2.0,1,"URBAN
DEVELOPMENT",254.13,35.0,Other,5.541773219174124
616604,2.0,1,"WATER
RESOURCES",160.0,45.0,Other,5.081404364984463
616605,9.0,1,Waste & Water,690.71,55.0,Other,6.539166792636632
616611,2.0,1,"URBAN
DEVELOPMENT",824.0,58.0,Other,6.715383386334681
616612,2.0,1,"URBAN
DEVELOPMENT",578.89,58.0,Other,6.362838430381235
616615,2.0,1,"URBAN
DEVELOPMENT",230.06,40.0,Other,5.442677417054872
616616,2.0,1,"URBAN
DEVELOPMENT",305.19,41.0,Other,5.724205824297079
616670,3.0,1,POWER,5846.0,24.0,POWER,8.67368398817567
616671,1.0,1,POWER,548.0,42.0,POWER,6.3080984415095305
616672,1.0,1,POWER,1354.0,24.0,POWER,7.2115567333138015
616694,11.0,0,Oil & Gas,200.77,33.0,Oil & Gas,5.307128434826587
616695,11.0,0,Oil & Gas,300.15,43.0,Oil & Gas,5.70760847948973
616696,1.0,0,Oil & Gas,254.06,48.0,Oil & Gas,5.541498811598753
616697,11.0,0,Oil & Gas,154.28,27.0,Oil & Gas,5.045229938860754
616699,11.0,0,Oil & Gas,12333.57,55.0,Oil & Gas,9.420161168201794
616701,11.0,0,Oil & Gas,2123.7,37.0,Oil & Gas,7.661385894921593
616702,1.0,0,Oil & Gas,3591.76,58.0,Oil & Gas,8.186675988333684
616839,2.0,0,Railways,1165.89,64.0,Other,7.062097369060713
616840,1.0,0,Oil & Gas,947.0,49.0,Oil & Gas,6.854354502255021
616841,10.0,1,Oil & Gas,799.64,34.0,Oil & Gas,6.685411407838491
616842,11.0,0,Oil & Gas,3085.59,41.0,Oil & Gas,8.034822200650687
616843,10.0,1,Oil & Gas,1634.79,40.0,Oil & Gas,7.399881147065413
616856,11.0,0,Oil & Gas,770.12,48.0,Oil & Gas,6.647844003475713
616857,11.0,0,Oil & Gas,1595.55,48.0,Oil & Gas,7.375600330173661
616858,1.0,1,"HEALTH AND
FAMILY
WELFARE",430.76,43.0,Other,6.067869878310387
616879,1.0,1,PETROLEUM,364.0,36.0,PETROLEUM,5.8998973535824915
616886,11.0,0,Education,373.0,21.0,Other,5.924255797414532
616933,12.0,0,"HEALTH AND
FAMILY
WELFARE",4679.0,39.0,Other,8.451053388911692
616983,2.0,0,Railways,467.58,47.0,Other,6.1497068448384935
617068,1.0,1,POWER,288.0,24.0,POWER,5.666426688112432
617069,1.0,1,COAL,466.0,24.0,COAL,6.1463292576688975
617179,1.0,1,POWER,219.0,24.0,POWER,5.393627546352362
617181,5.0,1,COAL,404.0,21.0,COAL,6.003887067106539
617182,12.0,0,COAL,172.0,24.0,COAL,5.153291594497779
617183,1.0,1,"DEPARTMENT
OF HIGHER
EDUCATION",2886.0,24.0,"DEPARTMENT
OF HIGHER
EDUCATION",7.967973179662935
617184,1.0,1,POWER,3453.0,24.0,POWER,8.147288258706624
617185,9.0,1,"DEPARTMENT
OF HIGHER
EDUCATION",5000.0,24.0,"DEPARTMENT
OF HIGHER
EDUCATION",8.517393171418904
617186,9.0,1,COAL,5028.0,24.0,COAL,8.522976436171964
617188,10.0,1,Electricity Generation,9791.0,60.0,Other,9.189321004752108
617200,11.0,0,Oil & Gas,7853.84,71.0,Oil & Gas,8.96888518129067
617201,3.0,1,Oil & Gas,4373.04,60.0,Oil & Gas,8.383442346142315
617206,11.0,0,Urban Public Transport,6230.99,48.0,Other,8.737450982927987
617207,11.0,0,Urban Public Transport,8399.81,60.0,Other,9.036083408753898
617210,11.0,0,Oil & Gas,1215.56,47.0,Oil & Gas,7.103782482832203
617211,11.0,0,Oil & Gas,2853.23,67.0,Oil & Gas,7.956557383437203
617212,10.0,1,Oil & Gas,4686.09,67.0,Oil & Gas,8.452567199786568
617213,6.0,0,Railways,2464.46,60.0,Other,7.810133681642895
617214,11.0,0,Oil & Gas,2047.4,28.0,Oil & Gas,7.624814279588395
617215,11.0,0,Oil & Gas,769.93,51.0,Oil & Gas,6.6475975782612755
617216,11.0,0,Oil & Gas,877.34,29.0,Oil & Gas,6.778033762411376
617221,11.0,0,Education,210.99,30.0,Other,5.356539103748161
617224,11.0,0,Oil & Gas,1120.0,45.0,Oil & Gas,7.02197642307216
